               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  48,            0.050728,            0.041647,             0.01749,             0.79756,                   1,             0.99126,             0.69055,            0.033571,            0.039729,            0.011851,            0.005347,            0.005347,            0.005347
                  49,             0.03954,            0.038412,            0.014755,             0.60785,                   1,              0.9927,             0.49957,            0.042246,            0.042781,            0.011731,            0.005248,            0.005248,            0.005248
                  50,            0.040088,             0.03412,            0.014747,             0.69226,                   1,             0.91529,             0.51847,            0.035674,            0.039251,            0.011494,            0.005149,            0.005149,            0.005149
                  51,            0.037468,             0.04112,            0.015314,             0.69711,                   1,             0.94254,             0.50194,            0.041479,            0.041766,            0.011168,             0.00505,             0.00505,             0.00505
                  52,             0.04282,            0.039734,            0.014073,             0.65532,                   1,             0.95957,             0.63223,            0.033081,            0.038915,            0.010888,            0.004951,            0.004951,            0.004951
                  53,            0.036615,            0.037352,            0.013099,             0.91138,                   1,             0.99483,             0.60703,              0.0373,            0.040161,            0.010753,            0.004852,            0.004852,            0.004852
                  54,            0.040769,            0.037985,            0.015103,              0.7804,                   1,             0.95829,             0.59012,            0.034077,            0.039251,            0.010491,            0.004753,            0.004753,            0.004753
                  55,             0.03413,            0.038642,            0.013384,             0.80253,                   1,              0.9635,             0.57058,             0.03886,             0.04086,            0.010102,            0.004654,            0.004654,            0.004654
                  56,            0.042897,             0.04355,            0.014466,             0.98363,                   1,               0.995,             0.63986,            0.030274,            0.037992,            0.010071,            0.004555,            0.004555,            0.004555
                  57,            0.036973,            0.039939,            0.012977,             0.87246,                   1,             0.98578,             0.60749,            0.035012,            0.040326,           0.0097871,            0.004456,            0.004456,            0.004456
                  58,            0.039455,               0.038,            0.012834,             0.98722,                   1,               0.995,             0.58232,            0.035807,            0.038968,           0.0097626,            0.004357,            0.004357,            0.004357
                  59,            0.030736,            0.036493,            0.012235,              0.7741,                   1,               0.995,             0.63724,            0.041443,            0.041339,           0.0094045,            0.004258,            0.004258,            0.004258
                  60,            0.039979,            0.040253,            0.012363,             0.98551,                   1,               0.995,             0.77196,             0.02781,               0.037,           0.0092143,            0.004159,            0.004159,            0.004159
                  61,            0.036159,            0.039643,            0.012906,             0.68999,                   1,             0.90329,             0.51202,            0.037252,            0.040082,           0.0090674,             0.00406,             0.00406,             0.00406
                  62,            0.034458,            0.033212,            0.013049,             0.98742,                   1,               0.995,             0.67972,             0.02686,            0.036339,           0.0090298,            0.003961,            0.003961,            0.003961
                  63,            0.030335,             0.03393,            0.013179,             0.75912,                   1,             0.96704,             0.51677,            0.037267,            0.040179,            0.008812,            0.003862,            0.003862,            0.003862
                  64,            0.039504,            0.035622,            0.011875,             0.84328,                   1,             0.99466,             0.69059,            0.029055,            0.037066,           0.0086232,            0.003763,            0.003763,            0.003763
                  65,            0.033626,             0.03918,            0.011886,             0.74149,                   1,             0.98309,              0.6634,            0.032203,            0.038623,           0.0085645,            0.003664,            0.003664,            0.003664
                  66,            0.034535,            0.038486,            0.014637,             0.98293,                   1,               0.995,             0.76861,            0.025796,            0.035965,           0.0084032,            0.003565,            0.003565,            0.003565
                  67,             0.02837,            0.036438,            0.011982,             0.74247,                   1,             0.99481,             0.61383,            0.032908,            0.037506,           0.0081738,            0.003466,            0.003466,            0.003466
                  68,            0.036126,            0.036254,            0.011271,             0.93022,                   1,             0.98299,             0.68214,            0.028091,            0.035853,           0.0081005,            0.003367,            0.003367,            0.003367
                  69,            0.031749,            0.035347,            0.010786,             0.96969,                   1,               0.995,             0.72028,            0.029169,            0.036847,           0.0079693,            0.003268,            0.003268,            0.003268
                  70,            0.030156,            0.037785,            0.010612,             0.98834,                   1,               0.995,             0.76611,              0.0252,            0.034996,           0.0079334,            0.003169,            0.003169,            0.003169
                  71,            0.030867,            0.033517,            0.011134,             0.99133,                   1,               0.995,             0.63555,             0.03112,            0.037013,           0.0077728,             0.00307,             0.00307,             0.00307
                  72,            0.033474,            0.036339,            0.010246,             0.98548,                   1,             0.99488,             0.80045,            0.023852,            0.034322,            0.007674,            0.002971,            0.002971,            0.002971
                  73,             0.02812,            0.026609,            0.010497,             0.88496,                   1,             0.99406,              0.7109,            0.030196,            0.036494,           0.0076121,            0.002872,            0.002872,            0.002872
                  74,             0.02977,            0.034226,            0.010671,             0.99218,                   1,               0.995,              0.8169,            0.023146,             0.03417,           0.0075233,            0.002773,            0.002773,            0.002773
                  75,            0.027079,            0.034116,            0.010563,             0.99227,                   1,               0.995,             0.69827,            0.031143,            0.037142,           0.0073195,            0.002674,            0.002674,            0.002674
